school_name,school_abbr,team_name,mbrship_status,undergrad_enrollment,stadium_name,lat,lon
University of Wisconsin–Eau Claire,UWEC,Blugolds,current,9262,Simpson Field,44.79434264,-91.50127634
University of Wisconsin–La Crosse,UWL,Eagles,current,9354,Veterans Memorial Stadium,43.81616174,-91.22713199
University of Wisconsin–Oshkosh,UWO,Titans,current,12691,Titan Stadium,44.0236423,-88.56297619
University of Wisconsin–Platteville,UWP,Pioneers,current,6274,Ralph E. Davis Pioneer Stadium,42.72789176,-90.48668102
University of Wisconsin–River Falls,UWRF,Falcons,current,4666,Smith Stadium,44.84572672,-92.6240902
University of Wisconsin–Stevens Point,UWSP,Pointers,current,7494,Goerke Park,44.52522972,-89.56055889
University of Wisconsin–Stout,Stout,Blue Devils,current,6080,Don and Nona Williams Stadium,44.8681167,-91.92864934
University of Wisconsin–Whitewater,UWW,Warhawks,current,9815,Perkins Stadium,42.84707952,-88.74485315
University of Wisconsin–Milwaukee,UWM,Panthers,former,18267,no_data,43.07684167,-87.88511186
University of Wisconsin–Superior,UWS,Yellowjackets,former,"2,081",no_data,46.70939634,-92.08354647
